Original Unit (),Original Value (),Matrix (),Limit of Detection (),Qualifier Flag (),Data Set ID (),Data Point ID (),Latitude (°),Longitude (°),Depth (),Date (UTC),Value (),Parameter (),Parameter_Modifier (),Original Parameter (),Unit ()
,0.620000004768372,Water,,,20,29.3171-89.961824201009240032.40,29.358699798584,-89.943000793457,24,9/24/2010 12:00:00 AM,0.620000004768372,,,Biological Index,
,1.42999994754791,Water,,,20,29.3171-89.961824201009240078.61,29.358699798584,-89.943000793457,24,9/24/2010 12:00:00 AM,1.42999994754791,,,Fluorescence Index,
,3320000000,Water,,,20,29.3171-89.961824201009240160.46,29.358699798584,-89.943000793457,24,9/24/2010 12:00:00 AM,3320000000,,,Total Fluorescence,
,0.100000001490116,Water,,,20,29.3171-89.961824201009240161.73,29.358699798584,-89.943000793457,24,9/24/2010 12:00:00 AM,0.100000001490116,,,UV/Visible Light Absorbance at 254 nm,
,0.629999995231628,Water,,,20,29.3587-89.94324201007180032.25,29.358699798584,-89.943000793457,24,7/18/2010 12:00:00 AM,0.629999995231628,,,Biological Index,
,1.4099999666214,Water,,,20,29.3587-89.94324201007180078.21,29.358699798584,-89.943000793457,24,7/18/2010 12:00:00 AM,1.4099999666214,,,Fluorescence Index,
,4140000000,Water,,,20,29.3587-89.94324201007180160.40,29.358699798584,-89.943000793457,24,7/18/2010 12:00:00 AM,4140000000,,,Total Fluorescence,
,0.138999998569489,Water,,,20,29.3587-89.94324201007180161.24,29.358699798584,-89.943000793457,24,7/18/2010 12:00:00 AM,0.138999998569489,,,UV/Visible Light Absorbance at 254 nm,
,0.610000014305115,Water,,,20,29.3587-89.94324201009240032.28,29.4179992675781,-89.9194030761719,24,9/24/2010 12:00:00 AM,0.610000014305115,,,Biological Index,
,1.41999995708466,Water,,,20,29.3587-89.94324201009240078.6,29.4179992675781,-89.9194030761719,24,9/24/2010 12:00:00 AM,1.41999995708466,,,Fluorescence Index,
,3980000000,Water,,,20,29.3587-89.94324201009240160.42,29.4179992675781,-89.9194030761719,24,9/24/2010 12:00:00 AM,3980000000,,,Total Fluorescence,
,0.119999997317791,Water,,,20,29.3587-89.94324201009240161.98,29.4179992675781,-89.9194030761719,24,9/24/2010 12:00:00 AM,0.119999997317791,,,UV/Visible Light Absorbance at 254 nm,
,0.560000002384186,Water,,,20,29.4155-89.8924201007180032.36,29.4155006408691,-89.8899993896484,24,7/18/2010 12:00:00 AM,0.560000002384186,,,Biological Index,
,1.37000000476837,Water,,,20,29.4155-89.8924201007180078.81,29.4155006408691,-89.8899993896484,24,7/18/2010 12:00:00 AM,1.37000000476837,,,Fluorescence Index,
,5980000256,Water,,,20,29.4155-89.8924201007180160.95,29.4155006408691,-89.8899993896484,24,7/18/2010 12:00:00 AM,5980000256,,,Total Fluorescence,
,0.211999997496605,Water,,,20,29.4155-89.8924201007180161.89,29.4155006408691,-89.8899993896484,24,7/18/2010 12:00:00 AM,0.211999997496605,,,UV/Visible Light Absorbance at 254 nm,
,0.670000016689301,Water,,,20,29.4155-89.8924201009240032.3,29.4277992248535,-89.8758010864258,24,9/24/2010 12:00:00 AM,0.670000016689301,,,Biological Index,
,1.42999994754791,Water,,,20,29.4155-89.8924201009240078.5,29.4277992248535,-89.8758010864258,24,9/24/2010 12:00:00 AM,1.42999994754791,,,Fluorescence Index,
,4289999872,Water,,,20,29.4155-89.8924201009240160.98,29.4277992248535,-89.8758010864258,24,9/24/2010 12:00:00 AM,4289999872,,,Total Fluorescence,
,0.189999997615814,Water,,,20,29.4155-89.8924201009240161.37,29.4277992248535,-89.8758010864258,24,9/24/2010 12:00:00 AM,0.189999997615814,,,UV/Visible Light Absorbance at 254 nm,
,0.569999992847443,Water,,,20,29.418-89.919424201007180032.82,29.4179992675781,-89.9194030761719,24,7/18/2010 12:00:00 AM,0.569999992847443,,,Biological Index,
,1.37999999523163,Water,,,20,29.418-89.919424201007180078.73,29.4179992675781,-89.9194030761719,24,7/18/2010 12:00:00 AM,1.37999999523163,,,Fluorescence Index,
,5420000256,Water,,,20,29.418-89.919424201007180160.4,29.4179992675781,-89.9194030761719,24,7/18/2010 12:00:00 AM,5420000256,,,Total Fluorescence,
,0.187999993562698,Water,,,20,29.418-89.919424201007180161.36,29.4179992675781,-89.9194030761719,24,7/18/2010 12:00:00 AM,0.187999993562698,,,UV/Visible Light Absorbance at 254 nm,
,0.620000004768372,Water,,,20,29.418-89.919424201009240032.86,29.4155006408691,-89.8899993896484,24,9/24/2010 12:00:00 AM,0.620000004768372,,,Biological Index,
,1.42999994754791,Water,,,20,29.418-89.919424201009240078.89,29.4155006408691,-89.8899993896484,24,9/24/2010 12:00:00 AM,1.42999994754791,,,Fluorescence Index,
,3990000128,Water,,,20,29.418-89.919424201009240160.24,29.4155006408691,-89.8899993896484,24,9/24/2010 12:00:00 AM,3990000128,,,Total Fluorescence,
,0.119999997317791,Water,,,20,29.418-89.919424201009240161.78,29.4155006408691,-89.8899993896484,24,9/24/2010 12:00:00 AM,0.119999997317791,,,UV/Visible Light Absorbance at 254 nm,
,0.560000002384186,Water,,,20,29.4278-89.875824201007180032.24,29.4277992248535,-89.8758010864258,24,7/18/2010 12:00:00 AM,0.560000002384186,,,Biological Index,
,1.36000001430511,Water,,,20,29.4278-89.875824201007180078.48,29.4277992248535,-89.8758010864258,24,7/18/2010 12:00:00 AM,1.36000001430511,,,Fluorescence Index,
,6870000128,Water,,,20,29.4278-89.875824201007180160.85,29.4277992248535,-89.8758010864258,24,7/18/2010 12:00:00 AM,6870000128,,,Total Fluorescence,
,0.243000000715256,Water,,,20,29.4278-89.875824201007180161.30,29.4277992248535,-89.8758010864258,24,7/18/2010 12:00:00 AM,0.243000000715256,,,UV/Visible Light Absorbance at 254 nm,
,0.610000014305115,Water,,,20,29.4278-89.875824201009240032.88,29.4384002685547,-89.8650970458984,24,9/24/2010 12:00:00 AM,0.610000014305115,,,Biological Index,
,1.41999995708466,Water,,,20,29.4278-89.875824201009240078.10,29.4384002685547,-89.8650970458984,24,9/24/2010 12:00:00 AM,1.41999995708466,,,Fluorescence Index,
,4249999872,Water,,,20,29.4278-89.875824201009240160.79,29.4384002685547,-89.8650970458984,24,9/24/2010 12:00:00 AM,4249999872,,,Total Fluorescence,
,0.129999995231628,Water,,,20,29.4278-89.875824201009240161.82,29.4384002685547,-89.8650970458984,24,9/24/2010 12:00:00 AM,0.129999995231628,,,UV/Visible Light Absorbance at 254 nm,
,0.560000002384186,Water,,,20,29.4384-89.865124201007180032.99,29.4384002685547,-89.8650970458984,24,7/18/2010 12:00:00 AM,0.560000002384186,,,Biological Index,
,1.35000002384186,Water,,,20,29.4384-89.865124201007180078.68,29.4384002685547,-89.8650970458984,24,7/18/2010 12:00:00 AM,1.35000002384186,,,Fluorescence Index,
